line,name,Latitude,Longitude,sort_order 
1,서울,37.55715948,126.9725546,1
1,시청,37.56543852,126.9769832,2
1,종각,37.57021404,126.9832397,3
1,종로3가,37.5704266,126.9920293,4
1,종로5가,37.57090754,127.0019166,5
1,동대문,37.57177757,127.0111671,6
1,신설동,37.5747188,127.0250937,7
1,제기동,37.57819673,127.0346906,8
1,청량리,37.58023316,127.0450859,9
1,동묘앞,37.57337221,127.0167512,10
2,시청,37.56357935,126.9753894,11
2,을지로입구,37.56605095,126.9823729,12
2,을지로3가,37.56626595,126.9903084,13
2,을지로4가,37.56663699,126.9978528,14
2,동대문역사문화공원,37.56558952,127.0091315,15
2,신당,37.56565403,127.0195406,16
2,상왕십리,37.56446871,127.0290312,17
2,왕십리,37.56122174,127.0366554,18
2,한양대,37.55557788,127.0435845,19
2,뚝섬,37.54718822,127.0473652,20
2,성수,37.5445024,127.0560905,21
2,건대입구,37.54041889,127.0691733,22
2,구의,37.53715356,127.0861792,23
2,강변,37.53516928,127.0946646,24
2,잠실나루,37.52068673,127.1038111,25
2,잠실역,37.51385928,127.1018579,26
2,잠실새내,37.51159181,127.0863753,27
2,종합운동장,37.51096927,127.073356,28
2,삼성,37.508862,127.063073,29
2,선릉,37.50450288,127.0489425,30
2,역삼,37.50071627,127.0366182,31
2,강남,37.49816465,127.0283079,32
2,교대,37.49281786,127.0138385,33
2,서초,37.491823,127.0075808,34
2,방배,37.48143649,126.9976949,35
2,사당,37.47652283,126.9814089,36
2,낙성대,37.47706518,126.96341,37
2,서울대입구,37.48115266,126.9526451,38
2,봉천,37.48255622,126.9414953,39
2,신림,37.48421761,126.9298033,40
2,신대방,37.48757597,126.9131756,41
2,구로디지털단지,37.48531492,126.9014944,42
2,대림,37.49331059,126.8949462,43
2,신도림,37.50877014,126.8910805,44
2,문래,37.51792146,126.8947631,45
2,영등포구청,37.52569966,126.8966269,46
2,당산,37.53495687,126.9027307,47
2,합정,37.55011521,126.9146382,48
2,홍대입구,37.55689041,126.9236743,49
